fan_eff_mod,fan_flow_mod,LPC_eff_mod,LPC_flow_mod,HPC_eff_mod,HPC_flow_mod,HPT_eff_mod,HPT_flow_mod,LPT_eff_mod,LPT_flow_mod
0.0,0.0,-0.0008545848591644438,-0.0009810812920693379,-0.00011219149656067472,-0.0007142402390534477,0.0,0.0,0.0,0.0
0.0,0.0,-0.0008479059438466011,-0.0009627754841106499,-0.00011965280356253816,-0.0007072247477980026,0.0,0.0,0.0,0.0
0.0,0.0,-0.0008467757667029703,-0.0009483427987117825,-0.0001295820961895672,-0.0007040586070410854,0.0,0.0,0.0,0.0
0.0,0.0,-0.0008504754290231771,-0.0009377423011189961,-0.000141592107313954,-0.0007044429093895788,0.0,0.0,0.0,0.0
0.0,0.0,-0.0008582788275199264,-0.0009309335507788905,-0.0001553179542385084,-0.000708101430350919,0.0,0.0,0.0,0.0
0.0,0.0,-0.0008694680942840033,-0.000927878309714635,-0.0001704249004009545,-0.0007147863266327489,0.0,0.0,0.0,0.0
0.0,0.0,-0.0008833488235944643,-0.0009285418783159011,-0.00018661529197873178,-0.000724282966068396,0.0,0.0,0.0,0.0
0.0,0.0,-0.0008992647444776005,-0.0009328940235140645,-0.00020363450453521207,-0.0007364137871003085,0.0,0.0,0.0,0.0
0.0,0.0,-0.0009166115079933292,-0.0009409094776031304,-0.00022127576034952677,-0.0007510411107601658,0.0,0.0,0.0,0.0
0.0,0.0,-0.0009348492767714709,-0.0009525679998390771,-0.00023938370637420449,-0.0007680688548690681,0.0,0.0,0.0,0.0
0.0,0.0,-0.0009535138308697597,-0.0009678540069449522,-0.0002578566750059473,-0.0007874431279812546,0.0,0.0,0.0,0.0
0.0,0.0,-0.0009722259379018484,-0.0009867557923085584,-0.00027664758407452625,-0.0008091517086245611,0.0,0.0,0.0,0.0
0.0,0.0,-0.0009906987756928042,-0.0010092643665361488,-0.00029576346764398527,-0.0008332224428640256,0.0,0.0,0.0,0.0
0.0,0.0,-0.0010087432413885093,-0.0010353719637025737,-0.00031526366433784784,-0.0008597206193797727,0.0,0.0,0.0,0.0
0.0,0.0,-0.001026271030746065,-0.0010650702677492481,-0.00033525672393554425,-0.0008887454053992487,0.0,0.0,0.0,0.0
0.0,0.0,-0.0010432954239387136,-0.0010983484217115189,-0.0003558961249550516,-0.0009204254483279519,0.0,0.0,0.0,0.0
0.0,0.0,-0.0010599297682129735,-0.0011351908885683677,-0.0003773749249616331,-0.0009549137662435486,0.0,0.0,0.0,0.0
0.0,0.0,-0.0010763837017238676,-0.001175575236335835,-0.00039991949062536097,-0.0009923820651190612,0.0,0.0,0.0,0.0
0.0,0.0,-0.0010929572154339583,-0.0012194699214879492,-0.00042378247545646255,-0.001033014631414188,0.0,0.0,0.0,0.0
