alt,Mach,TRA,T2,unit,cycle,Fc,hs,T48,T50,P50,Wf,Nf,Nc,T24,T30,P15,P21,P24,Ps30,P40,P2,T40,P30,P45,W21,W22,W25,W31,W32,W48,W50,SmFan,SmLPC,SmHPC,phi,fan_eff_mod,fan_flow_mod,LPC_eff_mod,LPC_flow_mod,HPC_eff_mod,HPC_flow_mod,HPT_eff_mod,HPT_flow_mod,LPT_eff_mod,LPT_flow_mod
13260.0,0.522081017494202,61.1714401245117,506.446041534702,1.0,1.0,1.0,1.0,1668.2107732621398,1144.33386232495,12.3043190442683,2.76895115820723,1996.7438222600501,8327.08727425178,578.213335539642,1355.1810571794902,15.0810935874744,15.310754911141501,17.708449810837802,257.839495315124,262.45456427880197,12.0935626516379,2581.87470113689,274.82153327623297,48.6419667862842,2122.4841468535396,186.63722170677502,186.638973605312,21.5554787571275,12.9332872542765,175.21276696369202,185.477959601105,19.3442536812017,8.50824262830644,30.1655015990859,38.661716873302105,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003166995510939,0.0,-0.0002571489232015,-0.0008057630394707
10923.0,0.465254992246628,69.6967697143555,517.724237269516,1.0,2.0,1.0,1.0,1801.9617070151198,1219.5258571761,13.8401675208973,3.7382295562172096,2127.64925018849,8568.8708561912,598.3885919101921,1431.3941074104998,16.596839106097697,16.8495828488301,19.775363360088,323.200027462245,328.451491462496,13.6881167192627,2774.33000795398,343.928263311514,61.273871210768,2388.74381753278,223.777875128221,223.775121009385,25.942186169233604,15.565311701540198,211.275222453989,223.582840011449,18.8023466065285,9.606420922065471,31.530684971032,41.466954692074104,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003220610987415,0.0,-0.000273989925889,-0.0008110768342516
13209.75,0.567992255091667,71.4545669555664,512.0043109092251,1.0,3.0,1.0,1.0,1794.0375908888373,1207.7149672180901,13.096138353910124,3.633532627338915,2136.5212618284877,8555.501594194557,600.7079204584281,1427.004620608535,16.128190544002152,16.373797506601225,19.630510760975472,315.8279352923488,321.02872056506146,12.855081684881151,2762.08395428211,336.1557283403785,59.915954871878746,2394.2368045816575,219.17734091586402,219.18456375631723,25.399926593714973,15.23995595622895,206.83214554708377,218.8875282035415,20.10743647284055,8.82843718749758,31.089600405929577,41.32252371746095,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003305276685613,0.0,-0.000292488400437,-0.0008196186030776
11004.0,0.544193983078003,59.7651977539063,511.1013301093442,1.0,4.0,1.0,1.0,1686.9214490306024,1159.25524572383,13.02162529067585,3.0257251548404773,2004.8570468957578,8390.32825290747,589.6615034929217,1374.4306194068402,15.998591709020673,16.242225085300248,18.842672382266674,280.798252871861,285.89699233780277,12.73974586950575,2607.9743600080724,299.36857836419125,52.98599658334905,2326.9509360082875,201.90860044212099,201.904919785985,23.358768649719476,14.015261189831651,189.895676699624,201.0004432735065,19.740885878238,8.101692903682032,32.781693026477626,38.807701672973224,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003418922738211,0.0,-0.0003124239527091,-0.0008310824663027
13260.0,0.522081017494202,61.1714401245117,506.446041534702,1.0,5.0,1.0,1.0,1668.0024726096399,1144.21666344096,12.305016332680099,2.76888493335586,1996.74380469452,8327.37111181997,578.202681327976,1355.24409197429,15.0810367545245,15.3106972127152,17.708045750027,257.87369900880003,262.491480403511,12.0935626516379,2581.7092085624,274.86018890419996,48.6530653073889,2122.5051430393105,186.668889188682,186.670645943106,21.5592200520294,12.935532031217699,175.242628523261,185.509562870546,19.3454809506208,8.52079029382651,30.1740352839996,38.6556634611724,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003559247250351,0.0,-0.00033357867719,-0.000845153124687
11835.25,0.5302079916000371,75.1459503173828,513.3466701385455,1.0,6.0,1.0,1.0,1806.48689796699,1217.2553497254676,13.479874178163822,3.735599265399557,2152.488639176045,8575.989945731508,600.1952065465915,1433.5449672752322,15.767720798016624,16.007838373620928,19.89254083177625,323.33143798898254,328.61063201131105,13.14454524421995,2780.7407388023953,344.09490262964476,61.306267942350644,2409.0644544170927,223.914118375932,223.91366393796426,25.958551552672,15.57513093160325,211.401375473433,223.71656972615824,19.5401493746704,9.429820762540265,32.41442554614473,41.6262623727946,0.0,0.0,0.0,0.0,0.0,0.0,-0.000372375037268,0.0,-0.0003557400073275,-0.0008615110049463
10486.0,0.5226479768753051,59.237857818603494,510.96676812069256,1.0,7.0,1.0,1.0,1685.596106158985,1161.4296746085524,13.023628519591824,3.038312887326665,1998.2405644304552,8387.165729346218,588.8513723344818,1373.49488738542,16.031549479699127,16.27568475096355,18.88915539456235,282.035865272574,287.1528558728977,12.725808716225824,2606.236139674425,300.683618715076,53.199317751393224,2325.7968702245626,202.82059284591423,202.81988786745148,23.466849254342677,14.080109552605599,190.77307493055773,201.92813165723447,19.391278937284277,8.276045071785504,31.27642862880505,38.782545768543024,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003909771399947,0.0,-0.0003787034303993,-0.0008798373154191
10251.25,0.465443998575211,59.9409790039063,515.3038180810727,1.0,8.0,1.0,1.0,1686.927609353415,1179.709852031395,13.700259039142473,3.228144498493185,2000.2811305871178,8394.635940349046,592.61150262918,1376.3538829328972,16.5943636984871,16.847069744656974,20.502676480456,301.935206243228,307.54224906284077,13.351042965645625,2608.5501033076325,322.0337686521892,56.8302323794138,2460.1205730403003,217.34623681229,217.34821946941474,25.183008424824678,15.109805054894824,204.688951927382,216.64300345105227,18.989933354628874,8.714742762499554,31.761058906421077,38.8779196790093,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004114528261413,0.0,-0.000402275024396,-0.0008998189063541
11868.0,0.4385272413492203,54.931247711181605,509.8872590387565,1.0,9.0,1.0,1.0,1655.4459060101099,1176.305183612255,13.666020700789725,3.0662439393700023,1933.7756038314649,8339.67195714219,583.5080787982572,1359.4734368646825,16.059331269460174,16.303889613665177,19.36920121140365,287.0786225525933,292.141548982681,12.866296986954223,2563.8125227710875,305.90738113369724,54.061297431737145,2266.0087789386776,207.399103962908,207.38974221441828,24.006663299078152,14.403997979446899,195.08446132896302,206.48882600293126,16.80799934344575,9.58292636287431,30.924618232574826,38.13095592206438,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004335158719171,0.0,-0.0004262737778907,-0.0009211528353281
12727.0,0.5353897362947468,59.1499710083008,509.5151726251305,1.0,10.0,1.0,1.0,1662.95112503625,1150.3451809825974,12.618676884458276,2.8690546928440623,1986.1493906590226,8335.500936451574,584.4058814559567,1358.1402439947076,15.37498091306545,15.60911767823905,18.391490970330523,270.0212219581205,274.99615841907496,12.495834960644151,2573.1560880003676,287.95409258541895,50.89297040219282,2266.1626832268676,195.85010807058376,195.84566181892575,22.64301880236065,13.585811281416401,183.99599124210198,194.76835568461175,19.769173049462225,8.13879120971234,30.862827485942304,38.40049651236537,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004568762554216,0.0,-0.0004505336580846,-0.0009435505471281
