fan_eff_mod,fan_flow_mod,LPC_eff_mod,LPC_flow_mod,HPC_eff_mod,HPC_flow_mod,HPT_eff_mod,HPT_flow_mod,LPT_eff_mod,LPT_flow_mod
0.0,0.0,0.0,0.0,0.0,0.0,-0.0006129831631684628,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0006257750228110259,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0006399811912737156,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0006554897229663912,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0006721884336370267,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0006899656823688592,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.000708711128131223,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0007283164540944609,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0007486760534054998,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0007696876706904778,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0007912529941952787,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.000813278194186477,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0008356744040024849,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0008583581409581944,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0008812516651526873,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0009042832750975919,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0009273875399588355,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0009505054690742793,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0009735846202609151,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0009965791492431444,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0010194498033065922,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.001042163862996558,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0010646950363252111,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0010870233105158937,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0011091347667870842,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0011310213640549176,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0011526806977032946,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0011741157397319965,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0011953345666398819,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.001216350081332804,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0012371797351634663,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.00125784525591609,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0012783723871464241,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0012987906437836433,0.0,0.0,0.0
