fan_eff_mod,fan_flow_mod,LPC_eff_mod,LPC_flow_mod,HPC_eff_mod,HPC_flow_mod,HPT_eff_mod,HPT_flow_mod,LPT_eff_mod,LPT_flow_mod
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00026515179081710834,-2.917954091427675e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00026032293317780793,-2.858384179672043e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002586895495342418,-3.2295485687336596e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002601386124145627,-4.009013683968499e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00026453628233120323,-5.173715843369113e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002717282339090503,-6.700266732641465e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002815402459283721,-8.56525340426845e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002937790863416379,-0.00010745528894904287
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003082337218416895,-0.0001321848983487717
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003246768789959128,-0.00015962337763926037
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003428669802611026,-0.00018956321259593935
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00036255047332582916,-0.00022180956419397269
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00038346456619724146,-0.0002561822370403992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004053403732932853,-0.0002925173963504845
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004279064695954576,-0.0003306690233481034
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004508928407731595,-0.00037051010387996377
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00047403520725889086,-0.00041193354979332866
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004970796897163735,-0.00045485285712894806
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005197877724234718,-0.0004992025093202533
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005419415100304387,-0.0005449381372805515
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005633489122297162,-0.0005920364514232397
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005838494303693101,-0.0006404949632350439
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006033194602644149,-0.0006903315159664551
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013156141384316035,-0.0005232383352154618
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003424459278881806,-0.0005838227596906085
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005369892267265593,-0.0006478818744908646
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007140701118157947,-0.0007153871241560791
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008730423562413117,-0.0007864068228465469
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010137807725610851,-0.0008611177514893827
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011367211130369178,-0.0009398159094584748
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012428927610780246,-0.001022926191351639
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001333943253551894,-0.0011110107616876825
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00141215377713118,-0.0012047759063891017
